file1,file2,import_similarity,method_similarity,label
awaitility-groovy/pom.xml,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,0.0,0.0,1
awaitility-groovy/pom.xml,changelog.txt,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,0.0,0.0,1
awaitility-scala/pom.xml,changelog.txt,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,0.0,0.0,1
awaitility/pom.xml,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,0.0,0.0,1
awaitility/pom.xml,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,0.0,0.0,1
awaitility/pom.xml,changelog.txt,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,changelog.txt,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,pom.xml,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,changelog.txt,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,pom.xml,0.0,0.0,1
awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,changelog.txt,0.0,0.0,1
